Date,Time,Tank,Genet,N,Splitting
10/17/23,17:30,4,B,18,0
10/17/23,17:30,4,C,10,0
10/17/23,17:30,4,D,22,0
10/17/23,17:30,4,E,26,0
10/17/23,17:30,5,A,15,0
10/17/23,17:30,5,B,19,0
10/17/23,17:30,5,C,9,0
10/17/23,17:30,5,D,28,0
10/17/23,17:30,5,E,27,2
10/17/23,17:30,6,A,21,1
10/17/23,17:30,6,B,23,1
10/17/23,17:30,6,C,12,0
10/17/23,17:30,6,D,27,0
10/17/23,17:30,6,E,27,0
10/17/23,17:30,7,A,23,0
10/17/23,17:30,7,B,21,1
10/17/23,17:30,7,C,12,0
10/17/23,17:30,7,D,22,1
10/17/23,17:30,7,E,22,0
10/17/23,17:30,8,A,12,2
10/17/23,17:30,8,B,23,0
10/17/23,17:30,8,C,9,0
10/17/23,17:30,8,D,22,1
10/17/23,17:30,8,E,29,0
10/17/23,17:30,9,A,15,0
10/17/23,17:30,9,B,20,0
10/17/23,17:30,9,C,16,0
10/17/23,17:30,9,D,21,1
10/17/23,17:30,9,E,19,1
10/17/23,17:30,10,A,16,1
10/17/23,17:30,10,B,21,0
10/17/23,17:30,10,C,12,0
10/17/23,17:30,10,D,25,0
10/17/23,17:30,10,E,25,0
10/17/23,17:30,11,A,15,0
10/17/23,17:30,11,B,18,0
10/17/23,17:30,11,C,14,0
10/17/23,17:30,11,D,23,0
10/17/23,17:30,11,E,23,3
10/17/23,17:30,12,A,15,0
10/17/23,17:30,12,B,18,0
10/17/23,17:30,12,C,11,0
10/17/23,17:30,12,D,28,0
10/17/23,17:30,12,E,26,0
10/17/23,17:30,13,A,13,2
10/17/23,17:30,13,B,19,1
10/17/23,17:30,13,C,12,0
10/17/23,17:30,13,D,24,0
10/17/23,17:30,13,E,23,1
10/17/23,17:30,14,A,18,2
10/17/23,17:30,14,B,21,2
10/17/23,17:30,14,C,8,0
10/17/23,17:30,14,D,20,1
10/17/23,17:30,14,E,23,2
10/17/23,17:30,15,A,13,0
10/17/23,17:30,15,B,22,3
10/17/23,17:30,15,C,9,0
10/17/23,17:30,15,D,21,0
10/17/23,17:30,15,E,29,2
10/20/23,13:30,1,A,19,0
10/20/23,13:30,1,B,21,0
10/20/23,13:30,1,C,11,0
10/20/23,13:30,1,D,20,0
10/20/23,13:30,1,E,20,0
10/20/23,13:30,2,A,14,0
10/20/23,13:30,2,B,19,0
10/20/23,13:30,2,C,10,1
10/20/23,13:30,2,D,22,0
10/20/23,13:30,2,E,28,1
10/20/23,13:30,3,A,17,0
10/20/23,13:30,3,B,20,2
10/20/23,13:30,3,C,14,0
10/20/23,13:30,3,D,22,0
10/20/23,13:30,3,E,20,0
10/20/23,13:30,4,A,15,2
10/20/23,13:30,4,B,18,1
10/20/23,13:30,4,C,10,0
10/20/23,13:30,4,D,23,0
10/20/23,13:30,4,E,24,2
10/20/23,13:30,5,A,15,2
10/20/23,13:30,5,B,19,1
10/20/23,13:30,5,C,9,0
10/20/23,13:30,5,D,28,0
10/20/23,13:30,5,E,28,1
10/20/23,13:30,6,A,22,1
10/20/23,13:30,6,B,24,0
10/20/23,13:30,6,C,12,0
10/20/23,13:30,6,D,28,1
10/20/23,13:30,6,E,26,0
10/20/23,13:30,7,A,23,0
10/20/23,13:30,7,B,22,0
10/20/23,13:30,7,C,12,1
10/20/23,13:30,7,D,24,0
10/20/23,13:30,7,E,23,0
10/20/23,13:30,8,A,14,0
10/20/23,13:30,8,B,23,0
10/20/23,13:30,8,C,9,1
10/20/23,13:30,8,D,23,1
10/20/23,13:30,8,E,29,0
10/20/23,13:30,9,A,15,1
10/20/23,13:30,9,B,20,1
10/20/23,13:30,9,C,18,0
10/20/23,13:30,9,D,21,0
10/20/23,13:30,9,E,20,2
10/20/23,13:30,10,A,17,0
10/20/23,13:30,10,B,21,0
10/20/23,13:30,10,C,12,0
10/20/23,13:30,10,D,25,1
10/20/23,13:30,10,E,25,0
10/20/23,13:30,11,A,15,1
10/20/23,13:30,11,B,19,0
10/20/23,13:30,11,C,15,0
10/20/23,13:30,11,D,23,0
10/20/23,13:30,11,E,25,0
10/20/23,13:30,12,A,15,0
10/20/23,13:30,12,B,19,0
10/20/23,13:30,12,C,11,0
10/20/23,13:30,12,D,28,2
10/20/23,13:30,12,E,28,1
10/20/23,13:30,13,A,13,0
10/20/23,13:30,13,B,20,0
10/20/23,13:30,13,C,12,0
10/20/23,13:30,13,D,24,0
10/20/23,13:30,13,E,22,1
10/20/23,13:30,14,A,19,2
10/20/23,13:30,14,B,23,0
10/20/23,13:30,14,C,8,0
10/20/23,13:30,14,D,22,0
10/20/23,13:30,14,E,23,0
10/20/23,13:30,15,A,13,2
10/20/23,13:30,15,B,24,0
10/20/23,13:30,15,C,10,1
10/20/23,13:30,15,D,22,0
10/20/23,13:30,15,E,30,2
10/24/23,17:00,1,A,19,1
10/24/23,17:00,1,B,22,1
10/24/23,17:00,1,C,11,0
10/24/23,17:00,1,D,20,0
10/24/23,17:00,1,E,20,0
10/24/23,17:00,2,A,15,0
10/24/23,17:00,2,B,20,0
10/24/23,17:00,2,C,10,1
10/24/23,17:00,2,D,22,0
10/24/23,17:00,2,E,29,1
10/24/23,17:00,3,A,17,0
10/24/23,17:00,3,B,23,1
10/24/23,17:00,3,C,14,1
10/24/23,17:00,3,D,22,0
10/24/23,17:00,3,E,22,2
10/24/23,17:00,4,A,17,1
10/24/23,17:00,4,B,21,1
10/24/23,17:00,4,C,11,0
10/24/23,17:00,4,D,23,0
10/24/23,17:00,4,E,24,4
10/24/23,17:00,5,A,16,0
10/24/23,17:00,5,B,19,0
10/24/23,17:00,5,C,10,0
10/24/23,17:00,5,D,27,0
10/24/23,17:00,5,E,30,2
10/24/23,17:00,6,A,22,0
10/24/23,17:00,6,B,24,0
10/24/23,17:00,6,C,11,0
10/24/23,17:00,6,D,28,0
10/24/23,17:00,6,E,26,1
10/24/23,17:00,7,A,23,0
10/24/23,17:00,7,B,22,1
10/24/23,17:00,7,C,13,1
10/24/23,17:00,7,D,24,1
10/24/23,17:00,7,E,24,1
10/24/23,17:00,8,A,16,0
10/24/23,17:00,8,B,24,0
10/24/23,17:00,8,C,9,1
10/24/23,17:00,8,D,24,0
10/24/23,17:00,8,E,27,2
10/24/23,17:00,9,A,15,0
10/24/23,17:00,9,B,21,1
10/24/23,17:00,9,C,18,0
10/24/23,17:00,9,D,22,1
10/24/23,17:00,9,E,21,0
10/24/23,17:00,10,A,19,0
10/24/23,17:00,10,B,23,0
10/24/23,17:00,10,C,12,0
10/24/23,17:00,10,D,25,0
10/24/23,17:00,10,E,25,0
10/24/23,17:00,11,A,15,1
10/24/23,17:00,11,B,20,0
10/24/23,17:00,11,C,15,0
10/24/23,17:00,11,D,22,1
10/24/23,17:00,11,E,25,1
10/24/23,17:00,12,A,15,2
10/24/23,17:00,12,B,19,0
10/24/23,17:00,12,C,11,0
10/24/23,17:00,12,D,29,1
10/24/23,17:00,12,E,25,1
10/24/23,17:00,13,A,15,1
10/24/23,17:00,13,B,19,0
10/24/23,17:00,13,C,12,0
10/24/23,17:00,13,D,24,0
10/24/23,17:00,13,E,22,1
10/24/23,17:00,14,A,19,1
10/24/23,17:00,14,B,23,0
10/24/23,17:00,14,C,8,0
10/24/23,17:00,14,D,21,0
10/24/23,17:00,14,E,24,1
10/24/23,17:00,15,A,14,0
10/24/23,17:00,15,B,24,0
10/24/23,17:00,15,C,10,0
10/24/23,17:00,15,D,22,0
10/24/23,17:00,15,E,30,0
10/27/23,17:30,1,A,20,1
10/27/23,17:30,1,B,23,1
10/27/23,17:30,1,C,11,1
10/27/23,17:30,1,D,21,0
10/27/23,17:30,1,E,20,0
10/27/23,17:30,2,A,15,1
10/27/23,17:30,2,B,20,0
10/27/23,17:30,2,C,11,1
10/27/23,17:30,2,D,22,0
10/27/23,17:30,2,E,29,0
10/27/23,17:30,3,A,17,0
10/27/23,17:30,3,B,23,0
10/27/23,17:30,3,C,15,0
10/27/23,17:30,3,D,22,0
10/27/23,17:30,3,E,24,2
10/27/23,17:30,4,A,18,0
10/27/23,17:30,4,B,22,1
10/27/23,17:30,4,C,11,1
10/27/23,17:30,4,D,23,0
10/27/23,17:30,4,E,29,0
10/27/23,17:30,5,A,17,0
10/27/23,17:30,5,B,19,0
10/27/23,17:30,5,C,10,0
10/27/23,17:30,5,D,28,0
10/27/23,17:30,5,E,31,0
10/27/23,17:30,6,A,24,0
10/27/23,17:30,6,B,25,0
10/27/23,17:30,6,C,11,0
10/27/23,17:30,6,D,28,0
10/27/23,17:30,6,E,26,0
10/27/23,17:30,7,A,23,0
10/27/23,17:30,7,B,22,0
10/27/23,17:30,7,C,15,0
10/27/23,17:30,7,D,25,0
10/27/23,17:30,7,E,25,1
10/27/23,17:30,8,A,16,0
10/27/23,17:30,8,B,25,2
10/27/23,17:30,8,C,9,0
